B_0_vac,B_m,N_rho,Rev_per_vol_opt,n_20_opt,E_b100_opt,P_nbi_opt,NWL_at_opt_Rev_per_vol,a_0_opt,a_0_limit_opt,L_mirror_opt,V_plasma_opt,a_w_opt,B_w_opt,q_w_opt
5.75,25,15,4392836445.872262,2.7154204241816964,0.49058116232464927,14.978157010901862,0.9050235527740118,0.100523199359965,DCLC,3.0156959807989496,0.06598924287151464,0.7703278855498376,0.09076782579202979,3.711224465685149
6.0,25,15,4689842650.78876,2.7114228456913825,0.5306613226452905,14.774781041439086,0.9490251474226067,0.10011426141892897,DCLC,3.003427842567869,0.06570763078797251,0.768759405169955,0.09440287404012733,3.681308501267727
6.25,25,15,4853976498.517275,2.714345357381429,0.574749498997996,14.74259116971441,0.9952488545257054,0.10001521260634724,DCLC,3.0004563781904174,0.0659316934098597,0.7683790220553353,0.09824620856736616,3.682194019564684
6.5,25,15,,,,,,,,,,,,
6.75,25,15,,,,,,,,,,,,
7.0,25,15,,,,,,,,,,,,
2.5,28,15,,,,,,,,,,,,
2.75,28,15,,,,,,,,,,,,
3.0,28,15,,,,,,,,,,,,
3.25,28,15,,,,,,,,,,,,
3.5,28,15,,,,,,,,,,,,
3.75,28,15,1752997431.3686743,2.0419902304609217,0.38436873747494993,14.923255194170446,0.5007057627934149,0.1425362458278564,DCLC,4.276087374835693,0.15282385603669182,0.9172867625195038,0.08034345937753111,2.6124116118249616
4.0,28,15,2142360515.4006546,2.3967935871743484,0.32024048096192387,14.997613291052136,0.5033941063779919,0.11910414417410613,DCLC,3.5731243252231835,0.0962672721471513,0.8385054787424082,0.07333556013224954,3.1162152971823707
4.25,28,15,2574725603.252608,2.6740146960587836,0.2881763527054108,14.971817092166075,0.5056828915395627,0.10485041616327898,DCLC,3.145512484898369,0.06980027841978025,0.7867333263939376,0.06956738343140184,3.5188557238369076
4.5,28,15,2929755382.8134956,2.7885771543086166,0.2961923847695391,14.89479598055867,0.5579100530628871,0.1,eng,3.0022179387064285,0.06227297187080116,0.7686045456704791,0.07052830441104095,3.6686249851556645
4.75,28,15,3243041294.745281,2.8182615230460923,0.33026052104208414,14.998992306524453,0.6586241382895643,0.10007725662385351,DCLC,3.0023176987156055,0.06274735970745866,0.768617315456208,0.07447402558554732,3.7043849023461446
5.0,28,15,3582136714.306582,2.8304943219772873,0.36633266533066133,14.958698459663257,0.7502677491833161,0.1001863498159469,DCLC,3.005590494478407,0.06329853283161367,0.7690361322806274,0.07843579840951609,3.7004603877628663
5.25,28,15,3945856018.279557,2.848947895791583,0.40240480961923847,14.948087918739912,0.8366228280591763,0.1000321988851096,DCLC,3.000965966553288,0.06342162793860218,0.768444268860281,0.08220686380929355,3.712572587326384
5.5,28,15,4314394763.506258,2.860387441549766,0.44248496993987974,14.956090245499691,0.9190788345564979,0.10018914809412044,DCLC,3.0056744428236137,0.06404146617337567,0.7690468720770229,0.08620367095074091,3.717851833012266
5.75,28,15,4680659190.184779,2.869040163660654,0.48456913827655307,14.95280634173569,0.9939111284304348,0.10033910933477724,DCLC,3.0101732800433174,0.06464931592452589,0.7696222043490931,0.09020993589848451,3.7199414497992667
6.0,28,15,4962389277.335801,2.851703406813627,0.5246492985971944,14.591068412134854,1.0349947156641244,0.1,eng,3.001977042212676,0.06448686923052682,0.7685737088261473,0.09386659130293676,3.6464034344201046
